Descrizione;k;k_packaging
Lardo Di Colonnata;1;
Lardo Pancettato;1;
Lardo Pepato;1;
Lariano;1;
Lasagne Al Forno;1;
Lattarini Marinati;1;
Latteria Bassanese;1;
Latteria Cremoso;1;
Latteria Del Diavolo;1;
Latteria Delebio;1;
Latteria Dolce;1;
Latteria Fresca;1;
Latteria Livigno;1;
Latteria Mareno;1;
Latterini;1;
Lavarello / Coregone;1;
Le Delice Des Cremiers Mini;1;
Leccia Stella;1;
Leerdammer;1.94;
Leerdammer Fondente;1.94;
Legumi E Cereali;1;
Legumi E Orzo;1;
Lenticche Di Montagna Bio;1;
Lenticche Rosse Bio;1;
Lenticche Verdi Bio;1;
Lenticchie;1;
Lenticchie Di Castelluccio Di Norcia;1;
Lenticchie Nere;1;
Lenticchie Nere Bio;1;
Lenticchie Rosse;1;
Lenticchie Verdi;1;
Lessino Di Capra;1;
Lime;1;
Lime Bio;1;
Limone Verdello;1;
Limoni;0.01;Cestino / Vassoio o Busta / Sottovuoto / Skin
Limoni Amalfi IGP;0.01;Cestino / Vassoio o Busta / Sottovuoto / Skin
Limoni Bio;1;
Limoni Foglia;0.01;Cestino / Vassoio o Busta / Sottovuoto / Skin
Limoni Primo Fiore;0.01;Cestino / Vassoio o Busta / Sottovuoto / Skin
Linea Osella;1;
Lingotti;1;
Lingotti Conditi;1;
Lingua B.A.;1;
Lingua Di Pizza Al Pomodoro;1;
Lingua Di Pizza Margherita;1;
Lingua Salmistrata;1;
Lingua Suino;1;
Lingua Vitello;1;
Lingue Di Pane;1;
Litchi;1;
Livarot;1;
Lombatine B.A.;1;
Lombatine Cinghiale;1;
Lombatine Coniglio;1;
Lombatine Suino;7.43;
Lonza / Arista A Fette Cinghiale;1;
Lonza / Arista A Fette Suino;4.06;
Lonza / Arista A Tranci Cinghiale;1;
Lonza / Arista A Tranci Suino;4.06;
Lonza / Arista Al Forno Gastronomia;1;
Lonza / Arista Impanata Suino;1;
Lonzino;1;
Losa;1;
Loti / Kaki Maturi;1;
Loti / Kaki Maturi 4 frutti;1;
Loti / Kaki Maturi 6 frutti;1;
Loti / Kaki Maturi Bio;1;
Loti / Kaki Mela-Persimon;1;
Loti / Kaki Mela-Persimon Bio;1;
Loti / Kaki Vaniglia;1;
Loti / Kaki Vaniglia 4 frutti;1;
Loti / Kaki Vaniglia Bio;1;
Lou Blau;1;
Lou Sande;1;
Lucifero Al Pepe Nero;1;
Lucifero Al Peperoncino;1;
Lumache Di Mare;1;
Lunatico;1;
Lupini;1;
Lupini Salati;1;
Lupini Sgusciato;1;
Maasdam;1;
Macedonia;1;
Macedonia Essiccata;1;
Macinato / Trita B.A.;5.45;
Macinato Anatra;1;
Macinato Black Angus B.A.;1;
Macinato Chianina B.A.;1;
Macinato Cinghiale;1;
Macinato Coniglio ;1;
Macinato Danese B.A.;1;
Macinato Equino;1;
Macinato Misto Suino E Bovino;1;
Macinato Misto Suino E Tacchino;1;
Macinato Piemontese B.A.;5.45;
Macinato Pollo;1;
Macinato Sceltissimo B.A.;5.45;
Macinato Sceltissimo Vitello;0.08;
Macinato Scelto B.A.;5.45;
Macinato Scelto Equino;1;
Macinato Scelto Suino;1;
Macinato Scelto Vitello;0.08;
Macinato Scottona B.A.;1;
Macinato Suino;1;
Macinato Tacchino;1;
Macinato Vitello;0.08;
Madrigal;1;
Magatello B.A.;1;
Magatello Vitello;1;
Maggiorana;1;
Magna Capra;1;
Magnuca;1;
Maialino Porchettato;1;
Mais Pop Corn;1;
Mais PopCorn Bio;1;
Mais Tostato;1;
Malga Alto Adige;1;
Malga Gardena;1;
Malga Tofino;1;
Malghetta Di Capra;1;
Malloreddus Alla Campidanese;1;
Manchego Gran Maestre;1;
Mandarini;1;
Mandarini Bio;1;
Mandarini Essicati;1;
Mandarini Tardivi;1;
Mandorle Affettate / A lamelle;1;
Mandorle Cocktail;1;
Mandorle Granella;1;
Mandorle In Guscio;1;
Mandorle In Guscio Bio;1;
Mandorle In Guscio Tostate e Salate;1;
Mandorle Pelate;1;
Mandorle Pelate Bio;1;
Mandorle Pelate Tostate E Salate;1;
Mandorle Salate;1;
Mandorle Sgusciate;1;
Mandorle Sgusciate Bio;1;
Mandorle Tostate;1;
Mango;1;
Mango Alphonso;1;
Mango Bio;1;
Mango Disidratato;1;
Mango Tagliato;1;
Mango Via Aerea;1;
Mangustin;1;
Manioca / Cassava;1;
Manouri;1;
Mantovana;1;
Mantuanella;1;
Mapo;1;
Marmora / Mormora;1;
Marroni;1;
Marzolino Brigantesco;1;
Marzolino Chianti Delle Colline Pisane;1;
Mascella B. A.;1;
Masdammer;1;
Mazzancolle / Gambero Bianco;1;
Mazzancolle In Salsa Saor;1;
Mazzancolle Tropicali Grandi;2.59;
Mazzancolle Tropicali Medie;2.59;
Mazzancolle Tropicali Precotte Grandi;2.59;
Mazzancolle Tropicali Precotte Medie;2.59;
Mel├╣;1;
Melanzane Bianche;0.04;Cestino / Vassoio o Busta / Sottovuoto / Skin
Melanzane Gratinate;1;
Melanzane Grigliate;1;
Melanzane Nere Lunghe;0.04;Cestino / Vassoio o Busta / Sottovuoto / Skin
Melanzane Nere Tonde / Globose;0.04;Cestino / Vassoio o Busta / Sottovuoto / Skin
Melanzane Nere Tonde Bio;1;
Melanzane Perline;0.04;Cestino / Vassoio o Busta / Sottovuoto / Skin
Melanzane Ripiene;1;
Melanzane Sott'Olio;1;
Melanzane Viola;0.04;Cestino / Vassoio o Busta / Sottovuoto / Skin
Melanzane Viola Mini;0.04;Cestino / Vassoio o Busta / Sottovuoto / Skin
Melanzane Viola Striate;0.04;Cestino / Vassoio o Busta / Sottovuoto / Skin
Mele Ambrosia;12.83;Sfuso
Mele Annurche;12.83;Sfuso
Mele Annurche IGP;12.83;Sfuso
Mele Cola / Gelato;1;
Mele Cotogne;12.83;Sfuso
Mele Fuji;12.83;Sfuso
Mele Fuji Bio;1;
Mele Golden;12.83;Sfuso
Mele Golden Bio;1;
Mele Golden Ros├¿;1;
Mele Granny Smith;12.83;Sfuso
Mele Granny Smith Bio;1;
Mele Jazz;1;
Mele Jonagold;1;
Mele Kanzi;1;
Mele Modi;12.83;Sfuso
Mele Modi Bio;1;
Mele Morgenduft / Imperatore;12.83;Sfuso
Mele Pink Lady;12.83;Sfuso
Mele Pinova;12.83;Sfuso
Mele Pinova Bio;1;
Mele Renette;12.83;Sfuso
Mele Roho Evelina;1;
Mele Royal Gala;12.83;Sfuso
Mele Royal Gala Bio;1;
Mele Ruggine;1;
Mele Stark / Red Delicious;12.83;Sfuso
Mele Stark / Red Delicious Bio;1;
Mele Stayman;1;
Mele Zitella;1;
Melograno;1;
Melograno Bio;1;
Melone Charentais;7.34;Sfuso
Melone Di Cantalupe;1;
Melone Disidratato;1;
Melone Francesino;7.34;Sfuso
Melone Giallo;7.34;Sfuso
Melone Giallo Bio;1;
Melone Giallo Tagliato;7.34;Sfuso
Melone Jolly;1;
Melone Retato;7.34;Sfuso
Melone Retato Bio;1;
Melone Retato Tagliato;7.34;Sfuso
Melone Verde;7.34;Sfuso
Melone Verde Tagliato;7.34;Sfuso
Menta;1;
Menta Bio;1;
Menta In Vaso;1;
Mentuccia;1;
Merinos;1;
Merlano / Molo;1;
Merluzzo Fritto;1;
Met├á Gallina;1;
Met├á Oca;1;
Mezzo Cappone;1;
Mezzo Coniglio In Parti;1;
Mezzo Pollo Allo Spiedo;1;
Mezzo Pollo Arrosto;1;
Miagawa;1;
Miagawa Bio;1;
Micca Di Parma;1;
Michette / Rosette / Stelline;1;
Miglio Bio;1;
Miglio Decorticato;1;
Milza B.A.;1;
Mimolette;1;
Minestra Di Farro;1;
Minestra D'orzo;1;
Minestra Mediterranea;1;
Minestra Orzo e Funghi;1;
Minestra Orzo e Funghi Porcini;1;
Minestra Orzo e Porri;1;
Minestrone;1;
Minestrone Di Verdure;1;
Minestrone Saporito;1;
Minestrone Tagliato;1;
Mini Burger Salmone Impanato;1;
Mini Fishburger Trota;1;
Mirtilli;1;
Mirtilli Bio;1;
Mirtilli Disidratati;1;
Mirtilli Rossi Secchi;1;
Misticanza;1;
Misticanza Bio;1;
Misticanza Orientale;1;
Misto 3 Guscio Sorrento;1;
Misto 3 Gusti ;1;
Misto In Guscio;1;
Misto Mare;1;
Misto Per Soffritto;1;
Mix (Cozze Vongole Fasolari);1;
Mix Colazione;1;
Mix Da Cuocere;1;
Mix Primavera;1;
Mix Rape Cotte;1;
Mix Rucoloso;1;
Mix Semi;1;
Mix Spinaci E Bietole Cotte;1;
Moddizzosu;1;
Molissardo;1;
Molissardo Al Tartufo;1;
Mollame Suino;1;
Monna Lisa tinto Rosso;1;
Montagna San Candido;1;
Montanaro;1;
Montasio;1;
Montasio Mezzano;1;
Montasio Semistagionato;1;
Montasio vecchio;1;
Monte Grappa Fresco;1;
Monte Grappa Stagionato;1;
Monte Limbara;1;
Monte Veronese D'Allevo;1;
Monte Veronese Latte Intero;1;
Montes;1;
Moras;1;
Morbidoso;1;
Morbier;1;
More;1;
More Bio;1;
More Secche;1;
Morlacco / Burlacco Del Grappa;1;
Mortadella;5.31;
Mortadella Bologna;5.31;
Mortadella Cinghiale;0.74;
Mortadella Con Pistacchio;5.31;
Mortadella Di Asino;0.74;
Mortadella Di Fegato;0.74;
Mortadella Di Pollo;0.74;
Mortadella Prosciuttella;0.74;
Moscardino;1;
Mostarda;1;
Mostella;1;
Mozzarella Di Bufala;1;
Mozzarella Di Bufala Affumicata;1;
Mozzarella In Carrozza;1;
Mozzarella Latte Di Bufala;1;
Mozzarella Nodino Di Bufala;1;
Mozzarella Nodino Di Bufala Affumicata;1;
Mozzarella Panata;1;
Mozzarella Treccia Di Bufala;1;
Mozzarella Treccia Di Bufala Affumicata;1;
Muffolette;1;
Murazzano;1;
Murena;1;
Murgiano Affumicato;1;
Murice Spinoso;1;
Muscolo Intero B.A.;1;
Muscolo Intero Chianina B.A;1;
Muscolo Intero Equino;1;
Muscolo Intero Scottona B.A.;1;
Muscolo Intero Vitello;1;
Nasello / Merluzzo;3.43;
Nero Di Fattoria;1;
Nero Di Grotta;1;
Nero Di Sicilia;1;
Nero Di Troia;1;
Nerone Di Pienza;1;
Nerone Di Puglia;1;
Nervi B.A.;1;
Nervi Conditi B.A.;1;
Nervi Conditi Vitello;1;
Nervi Vitello;1;
Nespole;1;
Nocciole Di Giffoni Igp;1;
Nocciole Granella;1;
Nocciole In Guscio;1;
Nocciole In Guscio Tostate;1;
Nocciole Oregon;1;
Nocciole Pelate;1;
Nocciole Piemonte IGP;1;
Nocciole Pralinate;1;
Nocciole Sgusciate;1;
Nocciole Sgusciate Bio;1;
Nocciole Sgusciate e Tostate;1;
Nocciole Sgusciate Tostate E Pelate;1;
Noce Di Cocco;1;
Noce Di Cocco Da Bere;1;
Noceto;1;
Noci Bio;1;
Noci Bio Giant;1;
Noci Brasiliane;1;
Noci California;1;
Noci Chandler;1;
Noci Cile;1;
Noci Dei Carpazi;1;
Noci Francia;1;
Noci Franquettes;1;
Noci Fresche;1;
Noci Howard;1;
Noci In Guscio;1;
Noci In Guscio Bio;1;
Noci Jumbo;1;
Noci Lara;1;
Noci Malizia;1;
Noci Pecan;1;
Noci Ricoperte Al Cioccolato;1;
Noci Sgusciate;1;
Noci Sgusciate Bio;1;
Noci Sorrento;1;
Noci Sorrento Naturali;1;
Noci Tostate E Salate;1;
Noci Tulare;1;
Nonno Tito Casaro;1;
Nostranello;1;
Nuraghe D'Oro;1;
Oca In Parti / A Pezzi;1;
Oca Intera / Busto;1;
Occelli Al Barolo;1;
Occelli In Foglie Di Castagno;1;
Occhi Verdi / Fuggirlo;1;
Occhiata;1;
Occhiato Valchiavenna;1;
Odori Misti;1;
Odori Misti Bio;1;
Odori Per Arrosti;1;
Odori Per Brodo;1;
Olive Ascolane Gastronomia;1;
Olive Cerignola;1;
Olive Denocciolate Nere;1;
Olive Denocciolate Nere;1;
Olive Denocciolate Nere Condite;1;
Olive Denocciolate Verdi;1;
Olive Denocciolate Verdi Condite;1;
Olive Farcite;1;
Olive Gaeta DOP;1;
Olive Gaeta DOP;1;
Olive Itrana Del Lazio;1;
Olive Mix Piccanti;1;
Olive Nere  Taggiasche;1;
Olive Nere Al Forno;1;
Olive Nere Al Forno;1;
Olive Nere Belle Di Cerignola;1;
Olive Nere Condite Alla Messinese;1;
Olive Nere Condite Dolci;1;
Olive Nere Dolci;1;
Olive Nere Dolci Nocellara Del Belice DOP;1;
Olive Nere Greche;1;
Olive Nere Itrana Del Lazio;1;
Olive Nere Kalamata;1;
Olive Nere Leccino;1;
Olive Nere Novara Del Bellice;1;
Olive Nere Torremaggiore;1;
Olive Nocellara Del Belice Al Naturale DOP;1;
Olive Nocellare;1;
Olive Nocellare Con Giardiniera;1;
Olive Pasolone;1;
Olive Riviera;1;
Olive Rosate;1;
Olive Taggiasche;1;
Olive Verdi Aperitivo;1;
Olive Verdi Belle Di Cerignola;1;
Olive Verdi Condite;1;
Olive Verdi Condite;1;
Olive Verdi Condite Piccanti;1;
Olive Verdi Denocciolate;1;
Olive Verdi Denocciolate Giganti;1;
Olive Verdi Denocciolate Nocellara Etnea;1;
Olive Verdi Dolci / Castelvetrano;1;
Olive Verdi Dolci Castel Vetrano;1;
Olive Verdi Dolci Denocciolate;1;
Olive Verdi Dolci Giganti;1;
Olive Verdi Dolci Giganti;1;
Olive Verdi Dolci Nocellara Del Belice DOP;1;
Olive Verdi Farcite;1;
Olive Verdi Piccanti;1;
Olive Verdi Schiacciate;1;
Olive Verdi Schiacciate Piccanti;1;
Ombrina;1;
Ombrina Bocca D'Oro;1;
Orata;8.77;
Orata Gaeta;4.45;
Orata Orbetello;4.45;
Orata Sicilia;4.45;
Origano;1;
Origano Bio;1;
Origano Foglie;1;
Origano In Vaso;1;
Ortler;1;
Orzo Perlato;1;
Orzo Perlato Bio;1;
Ossa Per Bollito B.A.;1;
Ossau - Iraty;1;
Ossobuco B.A.;1;
Ossobuco Chianina B.A;1;
Ossobuco Equino;1;
Ossobuco Piemontese B.A.;1;
Ossobuco Scottona B.A.;1;
Ossobuco Suino;1;
Ossobuco Tacchino;1;
Ossobuco Vitello;1;
Ossocollo;1;
Ossolano;1;
Ostrica Concava / Aperta;1;
Ovinfort;1;
Paella Di Carne e/o Pesce;1;
Pagliata Abbacchio;1;
Pagliata Vitello;1;
Paglierina;1;
Pagnotta A Lievitazione Naturale;1;
Pagnotta Ai Cereali;1;
Pagnotta Ai Multicereali;1;
Pagnotta Casereccia;1;
Pagnotta Con Semi Di Quinoa;1;
Pagnotta Cotta A Legna;1;
Pagnotta Di Altamura;1;
Pagnotta Di Grano Duro;1;
Pagnotta Di Grano Duro Con Olive;1;
Pagnotta Di Grano Tenero;1;
Pagnotta Di Lariano;1;
Pagnotta Di Segale;1;
Pagnotta Di Sesamo;1;
Pagnotta Di Tumminia;1;
Pagnotta Integrale;1;
Pagnotta Napoletana;1;
Pagnotta Rimacinata;1;
Pagnotta Romana;1;
Pagnotta Sciapa;1;
Pagnotta Siciliana;1;
Pagnotta Terni;1;
Pagro;1;
Paguro;1;
Pak Choi;1;
Pak Choi / Cavolo Cinese;1;
Palamita;1;
Palloncino Integrale;1;
Pallone Di Gravina;1;
Palombo;1;
Pamigo;1;
Pamigo Grattuggiato;1;
Pan Di Provola;1;
Panadas Condita;1;
Pancetta;1;
Pancetta A Fette Suino;1;
Pancetta A Tranci Suino;1;
Pancetta Affumicata;1;
Pancetta Al Forno;1;
Pancetta Arrotolata;1;
Pancetta Arrotolata Al Forno Gastronomia;1;
Pancetta Bergamasca;1;
Pancetta Coppata;1;
Pancetta Di Cinghiale;1;
Pancetta Di Suino Nero;1;
Pancetta Di Zibello;1;
Pancetta Magra;1;
Pancetta Nostrana;1;
Pancetta Pepata;1;
Pancetta Piacentina;1;
Pancetta Piccante;1;
Pancetta Rovajo;1;
Pancetta Senza Cotenna;1;
Pancetta Steccata;1;
Pancetta Stufata;1;
Pancetta Tesa Affumicata;1;
Pancetta Tesa Dolce;1;
Pancetta Tesa Piccante;1;
Pancetta Tirolese;1;
Pane Al Farro;1;
Pane Al Kamut;1;
Pane Alla Zucca;1;
Pane Arabo;1;
Pane Azimo;1;
Pane Cafone;1;
Pane Carasau;1;
Pane Carasau Di Mais;1;
Pane Carasau Integrale;1;
Pane Cereali;1;
Pane Di Cristallo;1;
Pane Di Sezze;1;
Pane Di Soia;1;
Pane Di Tumminia;1;
Pane Granello;1;
Pane Guttiau;1;
Pane Guttiau Integrale;1;
Pane Maggiolino;1;
Pane Modde;1;
Pane Nero;1;
Pane Palermitano;1;
Pane Pistoccu;1;
Pane Pistoccu Integrale;1;
Pane Pugliese;1;
Pane Sardo;1;
Pane Schiocco;1;
Pane Sciocco;1;
Pane Treccia;1;
Pane Zichi;1;
Panedda;1;
Panfocaccia;1;
Pangasio;1;
Panini Ai Cereali;1;
Panini Di Semola;1;
Panino Al Carbone;1;
Panino Al Latte;1;
Panino Al Sesamo;1;
Panino All'Olio;1;
Panino Casereccio;1;
Panino Di Grano Duro;1;
Panino Di Grano Tenero;1;
Panino Integrale;1;
Panino Integrale Condito;1;
Pannocchia / Canocchia;1;
Pannocchie di Mais;1;
Papaya;1;
Papaya A Cubetti;1;
Papaya A Fette;1;
Papaya Disidratata;1;
Papaya Formosa;1;
Papaya Via Aerea;1;
Parisienne;1;
Parmigiana Di Melanzane;1;
Parmigiano Reggiano;10.08;
Parmigiano Reggiano A Dadini;1;
Parmigiano Reggiano Grattugiato;1;
Parmigiano Reggiano In Scaglie;1;
Parmigiano Reggiano Vacche Rosse;10.08;
Parsienne;1;
Passera;1;
Pasta Fredda / Insalata Di Pasta;1;
Pasti Ubriaco Al Prosecco;1;
Pasti Ubriaco Rosso;1;
Pastore Di Fonni;1;
Pastorello Di Fonni;1;
Pastorino Sardo;1;
Pat├¿ Di Prosciutto;1;
Pat├¿ Di Tonno;1;
Patate;2.63;Sfuso
Patate Agata;2.63;Sfuso
Patate Arrosto;1;
Patate Bio;1;
Patate Cotte;1;
Patate D'Abruzzo / Fucino;2.63;Sfuso
Patate Della Sila / Calabria;2.63;Sfuso
Patate Di Montagna;2.63;Sfuso
Patate Dolci / Americane;2.63;Sfuso
Patate Fritte;1;
Patate Iodio;2.63;Sfuso
Patate Naturella;2.63;Sfuso
Patate Novella;2.63;Sfuso
Patate Novella Bio;1;
Patate Primura / Bologna DOP;2.63;Sfuso
Patate Rosse;2.63;Sfuso
Patate Rotzo / Asiago;2.63;Sfuso
Patate Selenio;2.63;Sfuso
Patate Viola;2.63;Sfuso
Patate Viterbo;2.63;Sfuso
Pecora In Parti;1;
Pecoricco;1;
Pecorino 40 Giorni;5.41;
Pecorino Abruzzese;5.41;
Pecorino Affinato In Crosta;5.41;
Pecorino Affumicato;5.41;
Pecorino Al Peperoncino;5.41;
Pecorino al Pesto;5.41;
Pecorino Al Pistacchio;5.41;
Pecorino Al Rosmarino;5.41;
Pecorino Al Tartufo Tuberino;5.41;
Pecorino Al Vino;5.41;
Pecorino Alla Birra;5.41;
Pecorino alle Vinacce;5.41;
Pecorino Allo Zafferano;5.41;
Pecorino Amiata Nero;5.41;
Pecorino Antico Grotta Amalasunta;5.41;
Pecorino Antico Grotta Defuk;5.41;
Pecorino Antico Grotta Tomao;5.41;
Pecorino Arenosu;5.41;
Pecorino Aresu;5.41;
Pecorino Auretta;5.41;
Pecorino Bacco;5.41;
Pecorino Badeconca;5.41;
Pecorino Bagnolese;5.41;
Pecorino Balze Volterrane DOP;5.41;
Pecorino Barbaricino;5.41;
Pecorino Boncacio;5.41;
Pecorino Boncacio Di Roma;5.41;
Pecorino Bosco;5.41;
Pecorino Cacio Ercole;5.41;
Pecorino Cacio Faenum;5.41;
Pecorino Cafone;5.41;
Pecorino Campagnolo;5.41;
Pecorino Campeda;5.41;
Pecorino Canestrino;5.41;
Pecorino Caseus Adrianus;5.41;
Pecorino Caseus Adrianus Rigato;5.41;
Pecorino Chent'Annos;5.41;
Pecorino Chianti Delle Colline Pisane;5.41;
Pecorino Colle Cavalieri;5.41;
Pecorino Colli Del Tufo;5.41;
Pecorino Colli Del Tufo Stagionato;5.41;
Pecorino Con Tartufo;5.41;
Pecorino Contadino;5.41;
Pecorino Crotonese;5.41;
Pecorino Crotonese Fresco;5.41;
Pecorino Crotonese Stagionato;5.41;
Pecorino Cuore Di sardegna;5.41;
Pecorino Del Casentino;5.41;
Pecorino Del Chiavistello;5.41;
Pecorino Del Cilento;5.41;
Pecorino Del Colle;5.41;
Pecorino Del Nonno;5.41;
Pecorino Del Principe;5.41;
Pecorino Di Amatrice;5.41;
Pecorino Di Capra;5.41;
Pecorino Di Farindola;5.41;
Pecorino Di Filiano;5.41;
Pecorino Di Foggia;5.41;
Pecorino Di Follonica;5.41;
Pecorino Di Fossa;5.41;
Pecorino Di Fossa Di Sogliano;5.41;
Pecorino Di Grotta;5.41;
Pecorino Di Latte Crudo;5.41;
Pecorino Di Norcia;5.41;
Pecorino Di Pecora Nobile;5.41;
Pecorino Di Pienza Nero / Semistagionato;5.41;
Pecorino Di Pienza Rosso / Fresco;5.41;
Pecorino Diavolatte;5.41;
Pecorino Dolce;5.41;
Pecorino Dolce Abbazia;5.41;
Pecorino Dolce Abbazia Stagionato;5.41;
Pecorino Dolce Colli Bolognesi;5.41;
Pecorino Dolce Pientino;5.41;
Pecorino Dolce Sogno;5.41;
Pecorino Dolce Tufo;5.41;
Pecorino Dolceprato;5.41;
Pecorino Ennese;5.41;
Pecorino Erborinato Blu;5.41;
Pecorino Fiore Del Pastore;5.41;
Pecorino Fiore Di Calabria;5.41;
Pecorino Fioretto;5.41;
Pecorino Foglia Di Noce;5.41;
Pecorino Fresco;5.41;
Pecorino fresco colfiorito;5.41;
Pecorino Fresco Con Erbe;5.41;
Pecorino Fresco Vallesina;5.41;
Pecorino Furfante;5.41;
Pecorino Galluradoro;5.41;
Pecorino Gemma Nera;5.41;
Pecorino Gentile;5.41;
Pecorino Gran Sepi;5.41;
Pecorino Granglona;5.41;
Pecorino Grattugiato;5.41;
Pecorino Graziola;5.41;
Pecorino Grotte Del Tufo;5.41;
Pecorino Il Castellano;5.41;
Pecorino Il Colle;5.41;
Pecorino Il Fresco Verde;5.41;
Pecorino Il Gigante;5.41;
Pecorino Il Magnifico;5.41;
Pecorino Il Merigo;5.41;
Pecorino Il Selvatico;5.41;
Pecorino Il Vecchio Fienile;5.41;
Pecorino Isolano;5.41;
Pecorino Kannitu;5.41;
Pecorino Kroton;5.41;
Pecorino La Deliziosa;5.41;
Pecorino Lago Di Bolsena;5.41;
Pecorino Laurentino;5.41;
Pecorino Laurentino Stagionato;5.41;
Pecorino Lucano;5.41;
Pecorino L'Ulivo;5.41;
Pecorino Luna Piena;5.41;
Pecorino Luna Rossa;5.41;
Pecorino Mandorlo;5.41;
Pecorino Marchigiano;5.41;
Pecorino Maremma Nero;5.41;
Pecorino Martano Nero;5.41;
Pecorino Marzolino;5.41;
Pecorino Marzolino Rosso;5.41;
Pecorino Metello;5.41;
Pecorino Misto;5.41;
Pecorino Misto Vallesina;5.41;
Pecorino Moliterno;5.41;
Pecorino Monna Lisa;5.41;
Pecorino Monreale;5.41;
Pecorino Monte Poro;5.41;
Pecorino Montenerone;5.41;
Pecorino Morbidello;5.41;
Pecorino Moro Di Sardegna;5.41;
Pecorino Mosto Dei Papi;5.41;
Pecorino Muravera;5.41;
Pecorino Napoleone In Grotta;5.41;
Pecorino Nero Di Sicilia;5.41;
Pecorino Nero Di Siena;5.41;
Pecorino Nerone;5.41;
Pecorino Nobile Della Buca Etrusca;5.41;
Pecorino Nostrano Vallesina;5.41;
Pecorino Paglia E Fieno;5.41;
Pecorino Pascoli Del Chianti;5.41;
Pecorino Pascoli Delle Colline;5.41;
Pecorino Pascoli Di Pienza;5.41;
Pecorino Pascoli Di Siena;5.41;
Pecorino Pastore Del Tirso;5.41;
Pecorino Pastore Sardo;5.41;
Pecorino Pecora Bella;5.41;
Pecorino Pecoraro;5.41;
Pecorino Pepato;5.41;
Pecorino Perla D'Oro;5.41;
Pecorino Perla Nera;5.41;
Pecorino Pilato;5.41;
Pecorino Pilato Stagionato;5.41;
Pecorino Prato Sardo;5.41;
Pecorino Predicatore;5.41;
Pecorino Primo Sale;5.41;
Pecorino Pugliese;5.41;
Pecorino Quattro Stagioni;5.41;
Pecorino Rancione;5.41;
Pecorino Re Nero;5.41;
Pecorino Re Sardo;5.41;
Pecorino Rigatino Etrusco;5.41;
Pecorino Rigato Barbaricino;5.41;
Pecorino Riserva;5.41;
Pecorino Risveglio;5.41;
Pecorino Roccaccio;5.41;
Pecorino Romano;5.41;
Pecorino Romano Goceano;5.41;
Pecorino Romano Grattugiato;5.41;
Pecorino Romano In Scaglie;5.41;
Pecorino Romano Nero;5.41;
Pecorino Roncione;5.41;
Pecorino Rossellino;5.41;
Pecorino Rosso Chianti;5.41;
Pecorino Rustico;5.41;
Pecorino San Ginese;5.41;
Pecorino San Patrignano;5.41;
Pecorino Sardaccio;5.41;
Pecorino Sardo;5.41;
Pecorino Sardo Dolce;5.41;
Pecorino Sardo Fiore Selvaggio;5.41;
Pecorino Sardo Fresco;5.41;
Pecorino Sardo Maturo;5.41;
Pecorino Sardo Medoro;5.41;
Pecorino Sardo Tuvois;5.41;
Pecorino Scodellato Misto Pecora;5.41;
Pecorino Semistagionato;5.41;
Pecorino Senese;5.41;
Pecorino Senese Contradaiolo;5.41;
Pecorino Siciliano;5.41;
Pecorino Sirbone;5.41;
Pecorino Stagionato;5.41;
Pecorino Stagionato Alta Tuscia;5.41;
Pecorino Stagionato La Goccia;5.41;
Pecorino Stagionato L'Ovile;5.41;
Pecorino Stagionato Montesu;5.41;
Pecorino Stagionato Napoleone;5.41;
Pecorino Stagionato Romagnolo;5.41;
Pecorino Stagionato Vallesina;5.41;
Pecorino Supramonte;5.41;
Pecorino Tavolara;5.41;
Pecorino Tenero Romagnolo;5.41;
Pecorino Testanera;5.41;
Pecorino Timbrato;5.41;
Pecorino Toscano;5.41;
Pecorino Toscano Rossellino;5.41;
Pecorino Toscano Stagionato;5.41;
Pecorino Toscano Tenero;5.41;
Pecorino Truncu Reale;5.41;
Pecorino Tusciarello;5.41;
Pecorino Umbro;5.41;
Pecorino Valmetauro;5.41;
Pecorino Vecchio Stampo;5.41;
Pecorino Vegetale;5.41;
Pecorino Viterbese;5.41;
Pennanera;1;
Pepe Nero;1;
Peperino Crotonese Pepe Rosso;1;
Peperonata;1;
Peperoncini Allungati Rossi;1;
Peperoncini Allungati Verdi;1;
Peperoncini Bio;1;
Peperoncini Calabresi;1;
Peperoncini Cayenna;1;
Peperoncini Dolci;1;
Peperoncini Habanero;1;
Peperoncini Jalapeno;1;
Peperoncini Misti;1;
Peperoncini Ripieni;1;
Peperoncini Secchi;1;
Peperoncini Tondi Rossi;1;
Peperoncini Tondi Verdi;1;
Peperoncini Tritati Bio;1;
Peperoni Arancioni;2.22;Sfuso
Peperoni Arancioni Bio;1;
Peperoni Corno Misti;2.22;Sfuso
Peperoni Corno Rossi;2.22;Sfuso
Peperoni Corno Verdi;2.22;Sfuso
Peperoni Cotti;1;
Peperoni Gialli;2.22;Sfuso
Peperoni Gialli Bio;1;
Peperoni Gratinati;1;
Peperoni Grigliati;1;
Peperoni Mini;2.22;Sfuso
Peperoni Misti;2.22;Sfuso
Peperoni Misti Bio;1;
Peperoni Ripieni;1;
Peperoni Rossi;2.22;Sfuso
Peperoni Rossi Bio;1;
Peperoni Verdi;2.22;Sfuso
Peperoni Verdi Bio;1;
Perbacco;1;
Pere Abate;4.8;Sfuso
Pere Abate Bio;1;
Pere Angelys;4.8;Sfuso
Pere Bartlett;4.8;Sfuso
