descrizione;descrizione_bis
Costine / Puntine / Spuntature Suino;Costine / Puntine / Spuntature Suino
Cotechino Suino;Cotechino Suino
Cotenna Suino;Cotenna Suino
Cotoletta Impanata B.A;Cotoletta Impanata B.A
Cotoletta Impanata B.A.;Cotoletta Impanata B.A.
Cotoletta Impanata Scottona B.A.;Cotoletta Impanata Scottona B.A.
Cotoletta Impanata Suino;Cotoletta Impanata Suino
Cotoletta Integrale Pollo;Cotoletta Integrale Pollo
Cotoletta Pollo;Cotoletta Pollo
Cotoletta Tacchino;Cotoletta Tacchino
Cotolette Nodini Cinghiale;Cotolette Nodini Cinghiale
Cotolette Nodini Impanati Suino;Cotolette Nodini Impanati Suino
Cotolette Nodini Vitello;Cotolette Nodini Vitello
Lombatine Vitello;Cotolette Nodini Vitello
Cuore A Fette B.A.;Cuore A Fette B.A.
Cuore A Fette Vitello;Cuore A Fette Vitello
Cuore B.A.;Cuore B.A.
Cuore Suino;Cuore Suino
Cuore Tacchino;Cuore Tacchino
Cuore Vitello;Cuore Vitello
Dakota Pollo;Dakota Pollo
Dakota Suino;Dakota Suino
Dakota Tacchino;Dakota Tacchino
Diaframma B.A.;Diaframma B.A.
Diaframma Equino;Diaframma Equino
Durelli / Ventrigli Pollo;Durelli / Ventrigli Pollo
Durelli / Ventrigli Tacchino;Durelli / Ventrigli Tacchino
Entrecote Argentina B.A.;Entrecote Argentina B.A.
Entrecote Australiana B.A.;Entrecote Australiana B.A.
Entrecote B.A.;Entrecote B.A.
Entrecote Black Angus B.A.;Entrecote Black Angus B.A.
Entrecote Chianina B.A.;Entrecote Chianina B.A.
Entrecote Danese B.A.;Entrecote Danese B.A.
Entrecote Irlandese B.A.;Entrecote Irlandese B.A.
Entrecote Piemontese B.A;Entrecote Piemontese B.A
Entrecote Scottona B.A.;Entrecote Scottona B.A. 
Fagottini Pollo;Fagottini Pollo
Faraona In Parti / A Pezzi;Faraona In Parti / A Pezzi
Busto Faraona;Faraona Intera / Busto
Faraona Intera;Faraona Intera / Busto
Faraona Ripiena;Faraona Ripiena
Fegatelli Di Suino;Fegatelli Di Suino
Fegatini Di Pollo;Fegatini Di Pollo
Fegatini E Cuore Coniglio;Fegatini E Cuore Coniglio
Fegatini E Cuore Pollo;Fegatini E Cuore Pollo
Fegato A Fette B.A;Fegato A Fette B.A
Fegato A Fette B.A.;Fegato A Fette B.A.
Fegato A Fette Vitello;Fegato A Fette Vitello
Fegato B.A.;Fegato B.A.
Fegato Coniglio;Fegato Coniglio
Fegato Suino;Fegato Suino
Fegato Tacchino;Fegato Tacchino
Fegato Vitello;Fegato Vitello
Fesa / Sceltissima Tranci Vitello;Fesa / Sceltissima Tranci Vitello
Fesa A Fette Impanate Tacchino;Fesa A Fette Impanate Tacchino
Fesa A Fette Impanate Vitello;Fesa A Fette Impanate Vitello
Fesa A Fette Tacchino;Fesa A Fette Tacchino
Petto A Fette Tacchino;Fesa A Fette Tacchino
Fesa A Fette Vitello;Fesa A Fette Vitello
Petto A Fette Vitello;Fesa A Fette Vitello
Fesa A Tranci Tacchino;Fesa A Tranci Tacchino
Fesa Intera Tacchino;Fesa A Tranci Tacchino
